jurisdiction,authority,original_filename,normalized_filename,source_url,source_type,download_status,provenance_status,runtime_status,bytes,content_type,notes
Changhua County,Changhua County Government,地價及標準地價評議委員會112年第1次會議紀錄(公開).pdf,changhua_land_price_review_committee_meeting_2023_01.pdf,,OFFICIAL_CASE_ATTACHMENT,downloaded,official_confirmed,source_only_not_runtime,521320,application/pdf,official committee meeting record containing land expropriation appraisal cases; source URL not retained
Changhua County,Changhua County Government Land Administration Department,彰化縣政府辦理土地徵收補償市價查估作業注意事項.pdf,changhua_land_appraisal_operating_guidelines.pdf,https://land.chcg.gov.tw/files/32_1040814_2013-5-23-9-37-6-nf2.pdf,OFFICIAL_MANUAL,failed,official_confirmed,source_only_not_runtime,,,official guideline; source_only; effective status requires legal review; Error: HTTP 403 bytes=0
Changhua County,Changhua County Tianzhong Land Office,彰化縣田中地政事務所SOP-113_124_1130108.pdf,changhua_tianzhong_land_office_standard_operating_procedure_2024.pdf,,OFFICIAL_MANUAL,downloaded,official_confirmed,source_only_not_runtime,1788546,application/pdf,official land office SOP; manually downloaded; source URL not retained in supplemental archive
Hsinchu City,Hsinchu City Government Land Administration Department,土地徵收補償市價查估相關書表格式.pdf,hsinchu_city_land_appraisal_form_formats.pdf,https://land.hccg.gov.tw/archive/file/table.pdf,OFFICIAL_FORM_TEMPLATE,downloaded,official_confirmed,source_only_not_runtime,316182,application/pdf,official government attachment; source_only
Hsinchu City,Hsinchu City Government Land Administration Department,徵收補償市價查估作業手冊.pdf,hsinchu_city_hosted_land_appraisal_operations_manual_2015.pdf,https://land.hccg.gov.tw/download/index.php/index.php?data_id=129&file_rename=MTA0MTAwMe+8jTZfMTkwMzE1MDYzOTMy.pdf&mode=dl_file,OFFICIAL_MANUAL,downloaded,official_confirmed,source_only_not_runtime,487394,application/pdf,central manual hosted by Hsinchu City; not a Hsinchu-specific rule pack
Keelung City,Keelung City Government Land Administration Department,13.附件11-徵收土地宗地市價清冊.pdf,keelung_expropriated_parcel_market_value_register.pdf,https://www.klepb.klcg.gov.tw/wSite/public/Attachment/019/f1628748514367.pdf,OFFICIAL_FORM_TEMPLATE,downloaded,official_confirmed,source_only_not_runtime,305263,application/pdf,official government attachment; source_only
Keelung City,Keelung City Government Land Administration Department,08.附件7-市價查估作業成果.pdf,keelung_land_appraisal_deliverables_checklist.pdf,https://www.klepb.klcg.gov.tw/wSite/public/Attachment/019/f1628748511851.pdf,OFFICIAL_FORM_TEMPLATE,downloaded,official_confirmed,source_only_not_runtime,70217,application/pdf,official government attachment; source_only
Keelung City,Keelung City Government Land Administration Department,10.附件8-1市價查估各項圖說範例.pdf,keelung_land_appraisal_drawing_examples.pdf,https://www.klepb.klcg.gov.tw/wSite/public/Attachment/019/f1628748513461.pdf,OFFICIAL_FORM_TEMPLATE,downloaded,official_confirmed,source_only_not_runtime,526661,application/pdf,official government attachment; source_only
Keelung City,Keelung City Government Land Administration Department,09.附件8-市價查估各項圖說製作規範.pdf,keelung_land_appraisal_drawing_specifications.pdf,https://www.klepb.klcg.gov.tw/wSite/public/Attachment/019/f1628748512695.pdf,OFFICIAL_FORM_TEMPLATE,downloaded,official_confirmed,source_only_not_runtime,589314,application/pdf,official government attachment; source_only
Keelung City,Keelung City Government Land Administration Department,11.附件9-市價查估審查紀錄表初審.pdf,keelung_land_appraisal_initial_review_form.pdf,https://www.klepb.klcg.gov.tw/wSite/public/Attachment/019/f1628748513711.pdf,OFFICIAL_FORM_TEMPLATE,downloaded,official_confirmed,source_only_not_runtime,148114,application/pdf,official government attachment; source_only
