jurisdiction,authority,original_filename,normalized_filename,source_type,factor_scope,source_url,download_status,sha256,notes
Taipei City,Taipei City Government,附件五：其他用地.ods,taipei_individual_factor_criteria_other.ods,OFFICIAL_EVALUATION_CRITERIA,individual,https://laws.gov.taipei/Law/LawSearch/LawFileList/FL066890,USER_PROVIDED_VERIFIED,26e79f91ae371c88afba9446cfa215628a00a4075eda1e8625e2fc218d09f52e,Filename normalized only; ODS content unchanged.
Taipei City,Taipei City Government,附件三：工業用地.ods,taipei_individual_factor_criteria_industrial.ods,OFFICIAL_EVALUATION_CRITERIA,individual,https://laws.gov.taipei/Law/LawSearch/LawFileList/FL066890,USER_PROVIDED_VERIFIED,0f580a004f3af9cdc2dea4bcb2918cd96f7665396ddade6b1060e91ff9b41003,Filename normalized only; ODS content unchanged.
Taipei City,Taipei City Government,附件四：農業用地.ods,taipei_individual_factor_criteria_agricultural.ods,OFFICIAL_EVALUATION_CRITERIA,individual,https://laws.gov.taipei/Law/LawSearch/LawFileList/FL066890,USER_PROVIDED_VERIFIED,79a22e2efb9560a31f67e61b6c206a14b9bc83604f914add8bfe07d6f180b69c,Filename normalized only; ODS content unchanged.
Taipei City,Taipei City Government,附件二：商業用地.ods,taipei_individual_factor_criteria_commercial.ods,OFFICIAL_EVALUATION_CRITERIA,individual,https://laws.gov.taipei/Law/LawSearch/LawFileList/FL066890,USER_PROVIDED_VERIFIED,c2ee4eb7fe5595154b4de569104a6c35e78efebc0994ce762cbd4dd3aca6d0e4,Filename normalized only; ODS content unchanged.
Taipei City,Taipei City Government,附件一：住宅用地.ods,taipei_individual_factor_criteria_residential.ods,OFFICIAL_EVALUATION_CRITERIA,individual,https://laws.gov.taipei/Law/LawSearch/LawFileList/FL066890,USER_PROVIDED_VERIFIED,331987924c26c3fd005e598725e92f0780cfdd4f4c99c99f2559eb449af2ea36,Filename normalized only; ODS content unchanged.
Taipei City,Taipei City Government,附件十一：農業用地.ods,taipei_regional_factor_criteria_agricultural.ods,OFFICIAL_EVALUATION_CRITERIA,regional,https://laws.gov.taipei/law/LawSearch/LawFileList/FL066891,USER_PROVIDED_VERIFIED,8118b330f3371935ec7600c5449381025dee60906c4e8cdb252ccb30fbc371ec,Filename normalized only; ODS content unchanged.
Taipei City,Taipei City Government,附件十二：其他用地.ods,taipei_regional_factor_criteria_other.ods,OFFICIAL_EVALUATION_CRITERIA,regional,https://laws.gov.taipei/law/LawSearch/LawFileList/FL066891,USER_PROVIDED_VERIFIED,ee969ccc682a17a94ffc6d19cfd1fbcef269868bc3cb47159df23c9c078162ef,Filename normalized only; ODS content unchanged.
Taipei City,Taipei City Government,附件十：中小規模工業用地.ods,taipei_regional_factor_criteria_small_medium_industrial.ods,OFFICIAL_EVALUATION_CRITERIA,regional,https://laws.gov.taipei/law/LawSearch/LawFileList/FL066891,USER_PROVIDED_VERIFIED,aea85863579bea3375ea7a74e6b3a2039896cd09d42783deebad1adb7f4836a0,Filename normalized only; ODS content unchanged.
Taipei City,Taipei City Government,附件九：大規模工業用地.ods,taipei_regional_factor_criteria_large_industrial.ods,OFFICIAL_EVALUATION_CRITERIA,regional,https://laws.gov.taipei/law/LawSearch/LawFileList/FL066891,USER_PROVIDED_VERIFIED,f8d16f419c6d278e3fa0bdd12b3303dc15303653ecb80d9ca1c3a6dc94c52478,Filename normalized only; ODS content unchanged.
Taipei City,Taipei City Government,附件八：村里鄰商業用地.ods,taipei_regional_factor_criteria_neighborhood_commercial.ods,OFFICIAL_EVALUATION_CRITERIA,regional,https://laws.gov.taipei/law/LawSearch/LawFileList/FL066891,USER_PROVIDED_VERIFIED,6ca8d0c908ccd44c5c9fc3fb4eaa76dc0381bd17bfe1be30f64204e1dd7f824e,Filename normalized only; ODS content unchanged.
Taipei City,Taipei City Government,附件五：高度商業用地.ods,taipei_regional_factor_criteria_high_grade_commercial.ods,OFFICIAL_EVALUATION_CRITERIA,regional,https://laws.gov.taipei/law/LawSearch/LawFileList/FL066891,USER_PROVIDED_VERIFIED,027b4976279d49c582e8dfeb8af9f451a40116c070608bbfc18dea32b104c12a,Filename normalized only; ODS content unchanged.
Taipei City,Taipei City Government,附件七：普通商業用地.ods,taipei_regional_factor_criteria_standard_commercial.ods,OFFICIAL_EVALUATION_CRITERIA,regional,https://laws.gov.taipei/law/LawSearch/LawFileList/FL066891,USER_PROVIDED_VERIFIED,08d856546cb6b30190c48661a000abe838da519e20a2aff92c505180649c76a5,Filename normalized only; ODS content unchanged.
Taipei City,Taipei City Government,附件六：中度商業用地.ods,taipei_regional_factor_criteria_mid_grade_commercial.ods,OFFICIAL_EVALUATION_CRITERIA,regional,https://laws.gov.taipei/law/LawSearch/LawFileList/FL066891,USER_PROVIDED_VERIFIED,6a2963eca0b24f68d0075651cb3d01599101ed932eb4e130a614b3b756d7e0be,Filename normalized only; ODS content unchanged.
Taipei City,Taipei City Government,附件四：村里鄰住宅用地.ods,taipei_regional_factor_criteria_neighborhood_residential.ods,OFFICIAL_EVALUATION_CRITERIA,regional,https://laws.gov.taipei/law/LawSearch/LawFileList/FL066891,USER_PROVIDED_VERIFIED,b088e9f8f83a7bffcef3582d0692296e356359ae2f22b3d185c72dc2c81d242d,Filename normalized only; ODS content unchanged.
Taipei City,Taipei City Government,附件三：普通住宅用地.ods,taipei_regional_factor_criteria_standard_residential.ods,OFFICIAL_EVALUATION_CRITERIA,regional,https://laws.gov.taipei/law/LawSearch/LawFileList/FL066891,USER_PROVIDED_VERIFIED,1490f595cb945026a375ae04d6ef484077a6f48896760533c1fa7a950f3ce77c,Filename normalized only; ODS content unchanged.
Taipei City,Taipei City Government,附件一：高級住宅用地.ods,taipei_regional_factor_criteria_high_grade_residential.ods,OFFICIAL_EVALUATION_CRITERIA,regional,https://laws.gov.taipei/law/LawSearch/LawFileList/FL066891,USER_PROVIDED_VERIFIED,b8863b4935f43882b928004c2a4d1ebcdf4c78764e08e7ed7f2ab00be8ce2cf1,Filename normalized only; ODS content unchanged.
Taipei City,Taipei City Government,附件二：中級住宅用地.ods,taipei_regional_factor_criteria_mid_grade_residential.ods,OFFICIAL_EVALUATION_CRITERIA,regional,https://laws.gov.taipei/law/LawSearch/LawFileList/FL066891,USER_PROVIDED_VERIFIED,f7073420fb59043e6d45348529baf67a9e9b831cb8c52475372206012c8bbbe6,Filename normalized only; ODS content unchanged.
Taipei City,Taipei City Government / commissioned appraiser,c9b35852-e140-4145-a926-c35a5f02f876.pdf,taipei_shilin_shuangxi_land_expropriation_market_value_appraisal_report_2023.pdf,OFFICIAL_FILLED_EXAMPLE,,,user_provided_verified,b92b396dc16da0c225dc7f6ae05bba02fcca411687aebd2dbb5da7d30fe90ac9,Official-government-hosted filled land expropriation market-value appraisal report; contains completed appraisal forms and case values.
Taipei City,Taipei City Government,#U81fa#U5317#U5e02#U653f#U5e9c#U8fa6#U7406#U571f#U5730#U5fb5#U6536#U88dc#U511f#U5e02#U50f9#U67e5#U4f30#U4f5c#U696d#U8cbb#U57fa#U6e96-20250825-#U6cd5#U898f#U6240#U6709#U689d#U6587.pdf,taipei_land_appraisal_operation_fee_standard_2025.pdf,OFFICIAL_REGULATION,,,user_provided_verified,5f421aa8caef0cf6bc3c05f373eb00f10e2e59e48cecd20405a5e738d49781fc,Taipei City Government fee standard for land expropriation compensation market-value appraisal operations; effective 2025-08-25.
Taipei City,Taipei City Government,10107.pdf,taipei_land_law_monthly_2012_07_appraisal_forms_and_criteria_notice.pdf,OFFICIAL_REGULATION,,,user_provided_verified,f521571415a233a7abb0b51812973d8f6b5040a42bcfefc137488d8bb77626bf,Taipei land-law monthly bulletin containing the MOI notice on land appraisal form formats and regional/individual factor criteria.
Taipei City,Taipei City Government,#U81fa#U5317#U5e02#U5730#U50f9#U53ca#U6a19#U6e96#U5730#U50f9#U8a55#U8b70#U59d4#U54e1#U6703#U7b2c103#U6b21#U6703#U8b70#U7d00#U9304.pdf,taipei_land_value_review_committee_meeting_103_2024.pdf,OFFICIAL_CASE_ATTACHMENT,,,user_provided_verified,cf3c3d15728a10b60321cb6bf37a004c310fcf523f796fc67ef77036a1be4045,"Taipei Land Value and Standard Land Value Review Committee 103rd meeting record, including real land expropriation appraisal/review cases."
